Name,Location,Locality,City,Cuisine,Rating,Votes,Cost
Ministry Of Beer,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,"Finger Food,  North Indian,  Italian,  Continental,  Oriental ,  Fusion",4,1501,2100
Sandoz,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Chinese,  Mughlai",4.2,134,1500
Farzi Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Modern Indian,  Continental,  Finger Food",4.2,1410,2000
Openhouse Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Continental,  American,  Asian,  Modern Indian",4.2,1272,2200
Lord of the Drinks,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Continental,  Japanese,  Oriental ",4.2,2694,2000
Lazeez Affaire,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Mughlai",4.2,845,2600
OTB Courtyard,"Connaught Place, Central Delhi", Central Delhi,Delhi,"World Cuisine,  Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  American,  Fast Food",4.1,297,2000
The Darzi Bar & Kitchen,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Mexican,  European,  Oriental ",4.1,1624,2000
Route 04,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Finger Food,  Italian,  Continental,  American,  Tex Mex",4.2,388,2000
Kwality Restaurant,"Regal Cinema Complex,Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Continental",4.5,416,2000
Castle Barbeque,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Chinese",3.5,101,2000
Teddy Boy,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Continental,  Italian,  Chinese",4.2,1753,2000
Tamra,"Shangri La's Eros Hotel,Janpath, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Japanese,  European,  Oriental ",4.4,491,4000
Cafe Delhi Heights,"Janpath, Central Delhi", Central Delhi,Delhi,"Modern Indian,  Italian,  Continental,  American",4.4,776,2000
The Imperial Spice,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Continental,  European,  Oriental ",4.4,500,2800
Informal By Imperfecto,"Janpath, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  Italian,  Continental,  Thai,  Oriental ",4.1,1634,2400
Boa Village,"The Exchange Store Building,Civil Lines, North Delhi", North Delhi,Delhi,"Asian,  Chinese,  Japanese,  Korean",4.4,4265,2000
Cafe MRP,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Italian,  Oriental ",4.2,1534,1400
Caffe Tonino,"PVR Plaza,Connaught Place, Central Delhi", Central Delhi,Delhi,Italian,4.5,826,2000
Desi Vibes,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Mughlai",4.2,881,2200
Cafe High5,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Chinese,  Continental,  Oriental ",3.9,310,1800
Master Of Malts,"Scindia House,Connaught Place, Central Delhi", Central Delhi,Delhi,"Continental,  Finger Food,  North Indian,  Italian,  Mediterranean,  European,  Asian",4.1,1269,2000
TEO - Lounge & Bar,"Punjabi Bagh, West Delhi", West Delhi,Delhi,"North Indian,  Oriental ,  Italian",3.9,1098,1200
Connaught Clubhouse,"Janpath, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  Italian,  Mexican,  Asian",4.2,117,2500
Cafe Hawkers,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Italian,  Fast Food",4.3,712,1200
Dhaba Estd 1986 Delhi,"Connaught Place, Central Delhi", Central Delhi,Delhi,North Indian,4.2,50,1200
My Bar Headquarters,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Finger Food,  North Indian,  Italian,  Chinese",4.1,2503,1500
Zaffran,"Hotel Palace Heights,Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Mughlai",4.5,335,1000
Oh My God,"F-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Italian,  Chinese,  Continental",4.1,922,2200
Daryaganj,"Regal Cinema Complex,Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Mughlai",4.1,38,2000
Berco's,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Chinese,  Thai",4.3,1378,1500
Barbeque Nation,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Barbecue,  Mughlai",4.4,610,1700
Bagundi,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,"South Indian,  Andhra,  Seafood",4.3,167,1000
Biryani By Kilo,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Mughlai,  Biryani",4.1,181,800
Sincity,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Italian,  Continental,  Mexican,  Asian,  Mughlai",3.8,110,1800
Naivedyam,"Connaught Place, Central Delhi", Central Delhi,Delhi,South Indian,3.8,54,500
AIR An Ivory Region,"Punjabi Bagh, West Delhi", West Delhi,Delhi,"North Indian,  Continental,  Oriental ,  Italian,  Street Food",4,3270,1200
Punjab Grill,"Janpath, Central Delhi", Central Delhi,Delhi,"North Indian,  Mughlai",4.1,147,2200
The Immigrant Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Italian,  Continental",4,65,2100
Pind Balluchi,"Janpath, Central Delhi", Central Delhi,Delhi,"North Indian,  Mughlai",4,180,1800
Bo-Tai Switch,"Shangri La's Eros Hotel,Janpath, Central Delhi", Central Delhi,Delhi,"Italian,  Thai",4.1,69,1200
Taste of China,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Chinese,  Thai",4.1,91,2000
Blues,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  Finger Food,  North Indian,  Chinese,  Continental,  American",4.2,92,2000
Taco Bell,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Mexican,  Tex Mex",4,37,500
The Host,"F-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Chinese,  Seafood,  Mughlai,  Oriental ",4.2,75,2500
THE ART HOUSE Restaurant,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Italian,  Continental",3.9,574,2500
DR Zombie,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Italian,  American,  Coffee",4.1,158,1800
Wok in the Clouds,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Chinese,  Thai,  Asian,  North Indian,  Continental",4.4,69,2200
Kinbuck 2,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Italian,  Continental,  Asian,  Chinese,  South Indian,  Fast Food",3.8,263,1800
Ranisa,"Connaught Place, Central Delhi", Central Delhi,Delhi,Rajasthani,4.4,9,800
The Embassy,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Continental,  European",4.2,276,2800
World Of My Bar,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Italian,  Fast Food",4.1,43,2200
Biryani Blues,"Scindia House,Connaught Place, Central Delhi", Central Delhi,Delhi,"Biryani,  Hyderabadi",4.2,187,1200
Chaayos,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Street Food,  Tea,  Fast Food",4.2,68,500
The Great Kabab Factory,"Radisson Blu Marina,Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Mughlai",4.2,146,3000
Khandani Rajdhani,"Scindia House,Connaught Place, Central Delhi", Central Delhi,Delhi,"Gujarati,  Rajasthani",4,417,1000
Chaayos,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,"Street Food,  Tea,  Fast Food",4.3,66,500
Mughal-E-Hazam,"Connaught Place, Central Delhi", Central Delhi,Delhi,North Indian,5,1,1200
Creme Borne,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Desserts,  Ice Cream,  Fast Food",4.8,9,500
The Imperial Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  European",4.4,23,2500
Sorrento,"Shangri La's Eros Hotel,Janpath, Central Delhi", Central Delhi,Delhi,Italian,4.5,113,4000
Handi Chhadeyan Di,"Connaught Place, Central Delhi", Central Delhi,Delhi,North Indian,4.3,46,800
The Chai Story,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Fast Food,  Tea",4.1,169,400
Fifty9,"Radisson Blu Marina,Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Continental,  Oriental ",3.7,193,2800
Shang Palace,"Shangri La's Eros Hotel,Janpath, Central Delhi", Central Delhi,Delhi,"Chinese,  Asian",4.6,152,4000
Veda,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Seafood,  Mughlai",4.1,318,2700
Baluchi,"The Lalit New Delhi,Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Mughlai",4.4,310,4000
The Connaught Bar,"Radisson Blu Marina,Connaught Place, Central Delhi", Central Delhi,Delhi,Finger Food,3.7,23,2200
Kapurthala Kitchen,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Chinese,  Continental",2.9,20,1200
Bistro 55,"Paharganj, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",5,2,500
Giani,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Desserts,  Ice Cream,  Shakes",3,2,400
Mamagoto,"Khan Market, Central Delhi", Central Delhi,Delhi,"Asian,  Chinese,  Thai,  Japanese",4.5,576,1500
Cinnabon,"Shivaji Stadium Metro Station,Connaught Place, Central Delhi", Central Delhi,Delhi,"Desserts,  Bakery and Confectionary,  Coffee",3.8,19,500
Fat Lulu's,"Khan Market, Central Delhi", Central Delhi,Delhi,"Italian,  Pizza,  Fast Food",4.5,25,1500
Pikkle,"Rajinder Nagar, West Delhi", West Delhi,Delhi,"Asian,  North Indian,  Chinese,  Thai,  Japanese,  Sushi",4.2,499,1800
Pindi,"Pandara Road, Central Delhi", Central Delhi,Delhi,"North Indian,  Chinese,  Mughlai",4.4,415,2500
Cafe Delhi Heights,"Khan Market, Central Delhi", Central Delhi,Delhi,"Modern Indian,  Italian,  Continental,  American",4.4,123,2000
TOS - Take Off Scarlet,"Punjabi Bagh, West Delhi", West Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",3.9,3055,1200
Veg Gulati,"Pandara Road, Central Delhi", Central Delhi,Delhi,"North Indian,  Biryani,  Indian Cuisine",4.4,90,1200
Judge & Jury,"Vijay Nagar, North Delhi", North Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  American",4.1,1076,1400
The DineRoom,"Punjabi Bagh, West Delhi", West Delhi,Delhi,"North Indian,  Italian,  Chinese",4.2,443,1000
Qbic Cafe,"East Patel Nagar, West Delhi", West Delhi,Delhi,"North Indian,  Chinese,  Continental,  Italian",4.3,447,1200
1 Oak Cafe & Bar,"Defence Colony, South Delhi", South Delhi,Delhi,"Finger Food,  Italian,  Continental,  Asian",4.2,2118,1600
Zaika Foods,"Daryaganj, Central Delhi", Central Delhi,Delhi,"North Indian,  Chinese,  Mughlai",4,51,500
The Chatter House,"Khan Market, Central Delhi", Central Delhi,Delhi,"North Indian,  Italian,  Continental",4.2,615,2600
Dilli Gate,"Daryaganj, Central Delhi", Central Delhi,Delhi,"North Indian,  Chinese,  Mughlai",4.5,2,600
Imly,"Apsara Arcade Mall,Karol Bagh, Central Delhi", Central Delhi,Delhi,"Street Food,  North Indian,  Chinese,  South Indian,  Fast Food",3.8,401,800
Ichiban,"Pandara Road, Central Delhi", Central Delhi,Delhi,"Chinese,  Thai,  Japanese",4.5,190,800
Talli Station,"Rajendra Bhawan,Rajendra Place, West Delhi", West Delhi,Delhi,"North Indian,  Chinese,  Fast Food",4.1,82,1500
Sly Granny,"Khan Market, Central Delhi", Central Delhi,Delhi,"European,  American",4.5,146,2500
Naivedyam,"East Patel Nagar, West Delhi", West Delhi,Delhi,South Indian,4.3,453,500
Lanterns Kitchen & Bar,"Rajendra Bhawan,Rajendra Place, West Delhi", West Delhi,Delhi,"Finger Food,  North Indian,  Italian,  Chinese",4.2,614,1600
Gola Sizzlers,"Khan Market, Central Delhi", Central Delhi,Delhi,"Sizzlers,  North Indian,  Chinese",4,37,1200
Out Of The Box,"Khan Market, Central Delhi", Central Delhi,Delhi,"World Cuisine,  Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Oriental ,  Tex Mex",4.1,634,2000
Wok in the Clouds,"Khan Market, Central Delhi", Central Delhi,Delhi,"Chinese,  Thai,  Asian,  North Indian,  Continental",4.3,646,2200
MGM Club,"MGM Residency 19,Daryaganj, Central Delhi", Central Delhi,Delhi,"North Indian,  Mughlai,  Chinese",4.4,11,1800
Sandoz,"Ashok Vihar Phase - 2, North Delhi", North Delhi,Delhi,"North Indian,  Chinese",4.3,851,1000
Molecule Air Bar,"Green Park, South Delhi", South Delhi,Delhi,North Indian,4.2,555,1500
Spezia Bistro,"Hudson Lane, North Delhi", North Delhi,Delhi,"Fast Food,  Italian,  Continental,  Oriental ",4.5,1482,1200
Clue,"Punjabi Bagh, West Delhi", West Delhi,Delhi,"North Indian,  Italian,  Continental,  Chinese,  Oriental ,  Street Food",3.9,1296,1500
Thalassery Restaurant,"Rajinder Nagar, West Delhi", West Delhi,Delhi,"North Indian,  Chinese,  Fast Food",5,1,800
Anglow,"Khan Market, Central Delhi", Central Delhi,Delhi,"North Indian,  European,  Continental",4.3,85,2200
Yellow Brick Road,"Ambassador,Khan Market, Central Delhi", Central Delhi,Delhi,"Continental,  North Indian,  Italian,  South Indian",4.4,532,3500
Suruchi,"Karol Bagh, Central Delhi", Central Delhi,Delhi,"Rajasthani,  North Indian,  Gujarati",4.2,55,800
Sevilla,"The Claridges,Aurangzeb Road, Central Delhi", Central Delhi,Delhi,"Italian,  Spanish",4.5,306,5000
Sandoz,"Lajpat Nagar - 3, South Delhi", South Delhi,Delhi,"North Indian,  Chinese",4.3,431,1000
Aura,"The Claridges,Aurangzeb Road, Central Delhi", Central Delhi,Delhi,Finger Food,4.7,3,4000
BFF (Beer Food Feast) Restro Bar,"Karol Bagh, Central Delhi", Central Delhi,Delhi,"North Indian,  Continental,  Oriental ,  Finger Food",4.1,25,2000
La Vie Pizzeria,"Khan Market, Central Delhi", Central Delhi,Delhi,"Italian,  Pizza",4.3,120,1500
Punjab Grill,"Khan Market, Central Delhi", Central Delhi,Delhi,"North Indian,  Mughlai",4.1,156,2200
Castle Barbeque,"Pacific Mall,Tagore Garden, West Delhi", West Delhi,Delhi,"North Indian,  Chinese",4,1652,2000
Lazeez Affaire,"Malcha Marg Shopping Complex,Chanakyapuri, South Delhi", South Delhi,Delhi,"North Indian,  Chinese,  Mughlai",4.4,1275,2600
Gola Sizzlers,"Preet Vihar, East Delhi", East Delhi,Delhi,"Sizzlers,  North Indian,  Chinese",4.2,83,1200
Socia L Affaire,"Karol Bagh, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  European,  Oriental ",3.6,51,1500
Jade,"The Claridges,Aurangzeb Road, Central Delhi", Central Delhi,Delhi,"Chinese,  Seafood",4,40,2500
Lazy Bear,"Hudson Lane, North Delhi", North Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",4.1,570,1100
Local heights,"Punjabi Bagh, West Delhi", West Delhi,Delhi,North Indian,3.8,426,800
Kaarobaar,"Rajinder Nagar, West Delhi", West Delhi,Delhi,"North Indian,  Fast Food,  Chinese",3.9,12,900
SAZ,"Sundar Nagar, Central Delhi", Central Delhi,Delhi,American,4.2,40,3000
The Waffle Co.,"Rajinder Nagar, West Delhi", West Delhi,Delhi,"Desserts,  Waffle,  Shakes",5,1,400
Qubitos - The Terrace Cafe,"Rajouri Garden, West Delhi", West Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Thai,  Mexican,  European",4.1,2422,1500
Bell Pepperz,"Community Centre,Ashok Vihar Phase - 2, North Delhi", North Delhi,Delhi,"North Indian,  Oriental ",4.4,643,1200
736 AD Cafe & Bar,"Vijay Nagar, North Delhi", North Delhi,Delhi,"Multi-Cuisine,  Italian,  Chinese,  Continental,  Lebanese",4.2,2062,1500
Jamun,"Lodhi Colony, South Delhi", South Delhi,Delhi,"North Indian,  Seafood,  Andhra,  Kerala",4.4,165,3000
Ping's Cafe Orient,"Lodhi Colony, South Delhi", South Delhi,Delhi,Asian,4.4,306,2100
Maini's Green Leaf,"Unity One Mall,Shahdara, East Delhi", East Delhi,Delhi,"North Indian,  Italian,  Chinese",4.3,340,1000
Elan,"The Lodhi,Lodhi Road, South Delhi", South Delhi,Delhi,"Continental,  North Indian,  Italian",4.3,203,4000
MKT,"The Chanakya,Chanakyapuri, South Delhi", South Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Mexican,  European,  Seafood,  Asian",4.5,899,1900
Sandoz,"Karol Bagh, Central Delhi", Central Delhi,Delhi,"North Indian,  Chinese",3.1,8,1000
Guppy,"Lodhi Colony, South Delhi", South Delhi,Delhi,"Asian,  Japanese,  Oriental ",4.3,291,2500
AlKauser,"Chanakyapuri, South Delhi", South Delhi,Delhi,"Mughlai,  North Indian",4,12,800
G2 Cafe,"Anand Vihar, East Delhi", East Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  European,  Asian",4.2,510,1600
Breakin' Brew,"Anand Vihar, East Delhi", East Delhi,Delhi,"Italian,  Continental,  Oriental ",4.6,58,900
Kake Da Hotel,"Rajinder Nagar, West Delhi", West Delhi,Delhi,North Indian,3.6,7,1000
Bake Club,"East Patel Nagar, West Delhi", West Delhi,Delhi,"Bakery and Confectionary,  Desserts,  Fast Food",5,1,500
The Sky High,"Ansal Plaza Mall,Khel Gaon, South Delhi", South Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Mughlai",4.2,1629,2000
The Salt Cafe Kitchen & Bar,"Preet Vihar, East Delhi", East Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  American",4.3,1479,2000
Sana-Di-Ge,"Malcha Marg Shopping Complex,Chanakyapuri, South Delhi", South Delhi,Delhi,"Seafood,  North Indian,  Goan,  Kerala",4.4,481,2200
Anardana Modern Kitchen & Bar,"Preet Vihar, East Delhi", East Delhi,Delhi,"North Indian,  Italian,  Chinese,  Continental",4.3,434,1700
Perbacco,"The Lodhi,Lodhi Road, South Delhi", South Delhi,Delhi,Italian,4,22,3000
Uncultured Cafe & Bar,"Kailash Colony, South Delhi", South Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Finger Food",4.3,2548,1500
Elma's Brasserie,"Mehar Chand Market,Lodhi Colony, South Delhi", South Delhi,Delhi,"Continental,  Italian,  European,  Desserts",4.4,108,1200
Verandah Moonshine,"Punjabi Bagh, West Delhi", West Delhi,Delhi,"North Indian,  Fast Food",4.2,939,1500
Breath - Fine Lounge and Bar,"Punjabi Bagh, West Delhi", West Delhi,Delhi,"North Indian,  Chinese",3.9,622,1200
Pinjore,"East Patel Nagar, West Delhi", West Delhi,Delhi,North Indian,3.6,13,1000
The Barbeque Company,"Jail Road, West Delhi", West Delhi,Delhi,"North Indian,  Barbecue,  Chinese",4.3,2478,2100
Xpose Lounge,"ITL Twin Tower,Netaji Subhash Place, North Delhi", North Delhi,Delhi,"North Indian,  Chinese,  Finger Food",3.9,1294,1700
Berco's,"Kamla Nagar, North Delhi", North Delhi,Delhi,"Chinese,  Thai",4.1,350,1300
Gyan's Restaurant,"East Patel Nagar, West Delhi", West Delhi,Delhi,North Indian,4.1,17,800
Housefull Cafe Lounge,"Hudson Lane, North Delhi", North Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Asian",4.2,283,1800
Taco Bell,"Kamla Nagar, North Delhi", North Delhi,Delhi,"Mexican,  Tex Mex,  Tex Mex",4.5,125,500
Sandoz,"Rajouri Garden, West Delhi", West Delhi,Delhi,"North Indian,  Chinese",4.4,1082,1200
Off Campus,"Satya Niketan, South Delhi", South Delhi,Delhi,"North Indian,  Italian,  Continental,  Fast Food",4.2,1157,1000
The Yellow Chilli,"V3S Mall,Laxmi Nagar, East Delhi", East Delhi,Delhi,"North Indian,  Mughlai",4.2,482,2000
Gram by Taksim,"Ansal Plaza Mall,Khel Gaon, South Delhi", South Delhi,Delhi,"North Indian,  Asian,  Italian,  European",4.1,844,2200
Xero Degrees,"Satya Niketan, South Delhi", South Delhi,Delhi,"Italian,  Fast Food,  Shakes",4.4,58,900
The Barbeque Company,"Karkardooma, East Delhi", East Delhi,Delhi,"North Indian,  Barbecue,  Chinese",4.3,1372,2100
By The Bay,"Hudson Lane, North Delhi", North Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  American,  Seafood",4.1,622,1800
Cafe Delhi Heights,"Unity One Mall,Janakpuri, West Delhi", West Delhi,Delhi,"Modern Indian,  Italian,  Continental,  American",4.4,451,2000
Cafe Delhi Heights,"Sangam Courtyard,RK Puram, South Delhi", South Delhi,Delhi,"Modern Indian,  Italian,  Continental,  American",4.5,1046,2000
Chili's American Grill and Bar,"Pacific Mall,Tagore Garden, West Delhi", West Delhi,Delhi,"Mexican,  American,  Italian",4.5,1157,2000
Vikrant Cafe,"Kamla Nagar, North Delhi", North Delhi,Delhi,"North Indian,  Fast Food,  Chinese,  South Indian",3.7,81,700
Tippling Street,"Rajouri Garden, West Delhi", West Delhi,Delhi,"North Indian,  Chinese,  Continental,  Asian",4.3,1435,1800
The Bowton House Cafe,"Satya Niketan, South Delhi", South Delhi,Delhi,"North Indian,  Chinese,  Italian,  Continental",3.7,227,800
Bhukkad's Cafe,"Kamla Nagar, North Delhi", North Delhi,Delhi,Fast Food,4.7,3,400
JD Theatre Cafe,"Ashok Vihar Phase - 1, North Delhi", North Delhi,Delhi,Fast Food,4.7,5,500
Moti Mahal Delux,"South Extension - 2, South Delhi", South Delhi,Delhi,"North Indian,  Chinese,  Mughlai",4.4,470,1500
The Laalten,"Kamla Nagar, North Delhi", North Delhi,Delhi,"North Indian,  Continental,  Oriental ,  Fast Food",4.2,383,1600
Govardhan Vegetarian,"Kamla Nagar, North Delhi", North Delhi,Delhi,"North Indian,  Chinese,  South Indian",3.7,75,1000
Sambookas,"DDA Market Complex,Hudson Lane, North Delhi", North Delhi,Delhi,"Italian,  Continental,  Fast Food",4.3,553,1200
Clay 1 Grill,"Kirti Nagar, West Delhi", West Delhi,Delhi,North Indian,4.2,624,2000
Cafe Chill'm,"Kamla Nagar, North Delhi", North Delhi,Delhi,"North Indian,  Fast Food,  Italian,  American",4.1,234,1800
Imly,"Ashok Vihar Phase - 2, North Delhi", North Delhi,Delhi,"Street Food,  North Indian,  Chinese,  South Indian,  Fast Food",4.2,1363,800
The Hogwarts Kafe,"Ashok Vihar Phase - 2, North Delhi", North Delhi,Delhi,"Fast Food,  North Indian,  Italian,  Continental,  Mexican,  Lebanese,  Oriental ",4.2,221,1200
Chimney Sizzlers,"Yashwant Place,Chanakyapuri, South Delhi", South Delhi,Delhi,"Chinese,  Fast Food",4.5,3,800
Sixth Empirica,"Punjabi Bagh, West Delhi", West Delhi,Delhi,"North Indian,  Italian,  Chinese,  Continental",4.1,1008,1200
Limitless,"Ansal Plaza Mall,Khel Gaon, South Delhi", South Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",4.2,681,2000
TESORO MIO KITCHEN 'N' KAFFE,"Preet Vihar, East Delhi", East Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Mexican",4.1,570,1600
Tikka Junction,"Kamla Nagar, North Delhi", North Delhi,Delhi,"North Indian,  Chinese",4,1,1500
Blackmail Lounge,"Kamla Nagar, North Delhi", North Delhi,Delhi,"North Indian,  Italian,  Chinese",4.4,54,1400
The Flying Saucer,"Epicuria Food Mall,Nehru Place, South Delhi", South Delhi,Delhi,"Finger Food,  North Indian,  Italian,  Continental,  Mediterranean,  Oriental ",4.1,1832,2800
The Crypto Door,"Vijay Nagar, North Delhi", North Delhi,Delhi,"Continental,  American,  Italian,  Lebanese,  Fusion",4.7,51,800
3 Friends Pizza,"Pandav Nagar, East Delhi", East Delhi,Delhi,Pizza,5,1,400
Moets Curry Leaf,"Defence Colony, South Delhi", South Delhi,Delhi,"North Indian,  Mughlai,  Kashmiri",4.1,239,2000
Le Cirque,"The Leela Palace,Chanakyapuri, South Delhi", South Delhi,Delhi,"Italian,  Continental,  French",4.4,25,5000
Crazy Kitchen Rooftop & Lounge,"Satya Niketan, South Delhi", South Delhi,Delhi,"Fast Food,  North Indian,  Italian,  Chinese",4.3,268,700
Wow! Momo,"Laxmi Nagar, East Delhi", East Delhi,Delhi,"Fast Food,  Tibetan",3.5,12,400
The Qube,"The Leela Palace,Chanakyapuri, South Delhi", South Delhi,Delhi,"North Indian,  Italian,  Continental,  Asian",4.5,84,5000
Wow! Momo,"Kamla Nagar, North Delhi", North Delhi,Delhi,"Fast Food,  Tibetan",3.3,38,400
Cafe Delhi Heights,"Rajouri Garden, West Delhi", West Delhi,Delhi,"Continental,  Modern Indian,  Italian,  American",4.5,809,2000
The Firangi Island,"Kirti Nagar, West Delhi", West Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",4.2,569,1600
